language	iso_code	gloss	global_id	local_id	transcription	cognate_class	tokens	notes	parsed_tokens	split
STAVANGERSK	q_stavangersk	narrow	1267	narrow	ˈtʁaŋːə	narrow:O	ˈt ʁ a ŋː ə		ˈt ʁ a ŋː ə	1
STAVANGERSK	q_stavangersk	turn	1588	turn	ˈʋɛ̀nːa	turn:U	ˈʋ ɛ̀ nː a		ˈʋ ɛ̀ nː a	2
STAVANGERSK	q_stavangersk	four	1500	four	ˈfìːʁa	four:N	ˈf ìː ʁ a		ˈf ìː ʁ a	test
STAVANGERSK	q_stavangersk	person	683	person	ˈmɛ̀nːəsk	person:A	ˈm ɛ̀ nː ə s k		ˈm ɛ̀ nː ə s k	2
STAVANGERSK	q_stavangersk	rain	658	rain	ˈrɛɡːən	rain:B	ˈr ɛ ɡː ə n		ˈr ɛ ɡː ə n	1
STAVANGERSK	q_stavangersk	throw	1456	throw	ˈkàsta	throw:I	ˈk à s t a		ˈk à s t a	4
STAVANGERSK	q_stavangersk	sit	1416	sit	ˈsìːda	sit:B	ˈs ìː d a		ˈs ìː d a	test
STAVANGERSK	q_stavangersk	bone	1394	bone	bɛɪn	bone:B	b ɛ ɪ n		b ɛ ɪ n	4
STAVANGERSK	q_stavangersk	right	1725	right	ˈʁɛtːə	right:C	ˈʁ ɛ tː ə		ˈʁ ɛ tː ə	5
STAVANGERSK	q_stavangersk	flow	2003	flow	ˈʁɛ̀nːa	flow:H	ˈʁ ɛ̀ nː a		ˈʁ ɛ̀ nː a	5
STAVANGERSK	q_stavangersk	tree	906	tree	tʁeː	tree:C	t ʁ eː		t ʁ eː	5
STAVANGERSK	q_stavangersk	leaf	628	leaf	ləʉ	leaf:I	l ə ʉ		l ə ʉ	test
STAVANGERSK	q_stavangersk	red	156	red	ˈʁøːə	red:B	ˈʁ øː ə		ˈʁ øː ə	4
STAVANGERSK	q_stavangersk	animal	619	animal	dyːʁ	animal:A	d yː ʁ		d yː ʁ	2
STAVANGERSK	q_stavangersk	swell	1573	swell	ˈsʋɛ̀dla	swell:B	ˈs ʋ ɛ̀ d l a		ˈs ʋ ɛ̀ d l a	1
STAVANGERSK	q_stavangersk	day	1225	day	dɑːɡ	day:B	d ɑː ɡ		d ɑː ɡ	test
STAVANGERSK	q_stavangersk	hair	1040	hair	hoːʁ	hair:B	h oː ʁ		h oː ʁ	test
STAVANGERSK	q_stavangersk	few	1242	few	ˈfoːə	few:F	ˈf oː ə		ˈf oː ə	1
STAVANGERSK	q_stavangersk	pull	1455	pull	dʁɑː	pull:J	d ʁ ɑː		d ʁ ɑː	4
STAVANGERSK	q_stavangersk	back	1291	back	ʁʏɡː	back:R	ʁ ʏ ɡː		ʁ ʏ ɡː	2
STAVANGERSK	q_stavangersk	sand	671	sand	sanː	sand:B	s a nː		s a nː	test
STAVANGERSK	q_stavangersk	with	1340	with	meː	with:C	m eː		m eː	test
STAVANGERSK	q_stavangersk	stone	857	stone	ˈstɛɪdn̩	stone:A	ˈs t ɛ ɪ d n̩		ˈs t ɛ ɪ d n̩	5
STAVANGERSK	q_stavangersk	eye	1248	eye	ˈœɪ̀a	eye:B	ˈœ ɪ̀ a		ˈœ ɪ̀ a	5
STAVANGERSK	q_stavangersk	grass	606	grass	ɡʁasː	grass:B	ɡ ʁ a sː		ɡ ʁ a sː	test
STAVANGERSK	q_stavangersk	leg	1297	leg	fuːd	leg:Q	f uː d		f uː d	4
STAVANGERSK	q_stavangersk	river	666	river	ɛlʋ	river:N	ɛ l ʋ		ɛ l ʋ	2
STAVANGERSK	q_stavangersk	worm	1219	worm	makː	worm:F	m a kː		m a kː	4
STAVANGERSK	q_stavangersk	black	163	black	ˈsʋɑːʁtə	black:B	ˈs ʋ ɑː ʁ t ə		ˈs ʋ ɑː ʁ t ə	5
STAVANGERSK	q_stavangersk	split	1437	split	ˈklœɪ̀ʋa	split:I	ˈk l œ ɪ̀ ʋ a		ˈk l œ ɪ̀ ʋ a	3
STAVANGERSK	q_stavangersk	give	1447	give	jeː	give:A	j eː		j eː	2
STAVANGERSK	q_stavangersk	stab	1434	stab	ˈstɪ̀kːa	stab:B	ˈs t ɪ̀ kː a		ˈs t ɪ̀ kː a	2
STAVANGERSK	q_stavangersk	horn	1393	horn	ˈhɔdːn̩	horn:A	ˈh ɔ dː n̩		ˈh ɔ dː n̩	3
STAVANGERSK	q_stavangersk	earth	1228	earth	mɔlː	earth:H	m ɔ lː		m ɔ lː	1
STAVANGERSK	q_stavangersk	snake	730	snake	ɔʁm	snake:K	ɔ ʁ m		ɔ ʁ m	4
STAVANGERSK	q_stavangersk	walk	1443	walk	ɡoː	walk:G	ɡ oː		ɡ oː	test
STAVANGERSK	q_stavangersk	dog	2009	dog	hunː	dog:A	h u nː		h u nː	test
STAVANGERSK	q_stavangersk	stand	1442	stand	stoː	stand:B	s t oː		s t oː	1
STAVANGERSK	q_stavangersk	count	1420	count	ˈtɛ̀lːa	count:A	ˈt ɛ̀ lː a		ˈt ɛ̀ lː a	3
STAVANGERSK	q_stavangersk	scratch	1436	scratch	kløː	scratch:I	k l øː		k l øː	5
STAVANGERSK	q_stavangersk	thick	1244	thick	ˈçukːə	thick:A	ˈç u kː ə		ˈç u kː ə	1
STAVANGERSK	q_stavangersk	in	1460	in	iː	in:E	iː		iː	4
STAVANGERSK	q_stavangersk	big	1202	big	ˈstuːʁə	big:O	ˈs t uː ʁ ə		ˈs t uː ʁ ə	2
STAVANGERSK	q_stavangersk	wing	1257	wing	ʋɛŋː	wing:J	ʋ ɛ ŋː		ʋ ɛ ŋː	5
STAVANGERSK	q_stavangersk	not	1240	not	ˈɪçːə	not:C	ˈɪ çː ə		ˈɪ çː ə	1
STAVANGERSK	q_stavangersk	fly	1441	fly	ˈflỳːɡa	fly:A	ˈf l ỳː ɡ a		ˈf l ỳː ɡ a	2
STAVANGERSK	q_stavangersk	say	1458	say	ˈsɛɪ̀a	say:B	ˈs ɛ ɪ̀ a		ˈs ɛ ɪ̀ a	5
STAVANGERSK	q_stavangersk	you	1213	you	deː	you:A	d eː		d eː	test
STAVANGERSK	q_stavangersk	warm	1232	warm	ˈʋaʁmə	warm:B	ˈʋ a ʁ m ə		ˈʋ a ʁ m ə	4
STAVANGERSK	q_stavangersk	cloud	1489	cloud	ʂyː	cloud:J	ʂ yː		ʂ yː	3
STAVANGERSK	q_stavangersk	rotten	1728	rotten	ˈʁòːdn̩	rotten:B	ˈʁ òː d n̩		ˈʁ òː d n̩	test
STAVANGERSK	q_stavangersk	smooth	1234	smooth	ˈslɛtːə	smooth:J	ˈs l ɛ tː ə		ˈs l ɛ tː ə	5
STAVANGERSK	q_stavangersk	hand	1277	hand	hɔnː	hand:B	h ɔ nː		h ɔ nː	1
STAVANGERSK	q_stavangersk	ice	617	ice	iːs	ice:B	iː s		iː s	test
STAVANGERSK	q_stavangersk	tongue	1205	tongue	ˈtùŋːa	tongue:W	ˈt ù ŋː a		ˈt ù ŋː a	2
STAVANGERSK	q_stavangersk	wet	1726	wet	ˈʋoːdə	wet:I	ˈʋ oː d ə		ˈʋ oː d ə	2
STAVANGERSK	q_stavangersk	head	1256	head	ˈhòːʋə	head:B	ˈh òː ʋ ə		ˈh òː ʋ ə	3
STAVANGERSK	q_stavangersk	seed	714	seed	fʁøː	seed:F	f ʁ øː		f ʁ øː	4
STAVANGERSK	q_stavangersk	float	1574	float	ˈflỳːda	float:D	ˈf l ỳː d a		ˈf l ỳː d a	1
STAVANGERSK	q_stavangersk	suck	1421	suck	ˈsʉ̀ːa	suck:B	ˈs ʉ̀ː a		ˈs ʉ̀ː a	3
STAVANGERSK	q_stavangersk	fish	227	fish	fɪsk	fish:B	f ɪ s k		f ɪ s k	3
STAVANGERSK	q_stavangersk	live	1422	live	bʉː	live:I	b ʉː		b ʉː	5
STAVANGERSK	q_stavangersk	push	1452	push	ˈskʉ̀ːa	push:N	ˈs k ʉ̀ː a		ˈs k ʉ̀ː a	1
STAVANGERSK	q_stavangersk	egg	744	egg	ɛɡː	egg:A	ɛ ɡː		ɛ ɡː	2
STAVANGERSK	q_stavangersk	green	1425	green	ˈgʁœnːə	green:B	ˈg ʁ œ nː ə		ˈg ʁ œ nː ə	2
STAVANGERSK	q_stavangersk	wife	1199	wife	ˈkòːna	wife:Z	ˈk òː n a		ˈk òː n a	4
STAVANGERSK	q_stavangersk	thou	1215	thou	dʉː	thou:A	d ʉː		d ʉː	2
STAVANGERSK	q_stavangersk	many	1198	many	ˈmàŋːə	many:H	ˈm à ŋː ə		ˈm à ŋː ə	4
STAVANGERSK	q_stavangersk	tie	1094	tie	ˈbɪ̀nːa	tie:B	ˈb ɪ̀ nː a		ˈb ɪ̀ nː a	test
STAVANGERSK	q_stavangersk	tooth	1380	tooth	tɔnː	tooth:B	t ɔ nː		t ɔ nː	4
STAVANGERSK	q_stavangersk	dust	2	dust	dʉst	dust:Q	d ʉ s t		d ʉ s t	test
STAVANGERSK	q_stavangersk	sun	1343	sun	suːl	sun:W	s uː l		s uː l	3
STAVANGERSK	q_stavangersk	wide	1243	wide	ˈbʁɛɪə	wide:I	ˈb ʁ ɛ ɪ ə		ˈb ʁ ɛ ɪ ə	2
STAVANGERSK	q_stavangersk	husband	1200	husband	manː	husband:B	m a nː		m a nː	5
STAVANGERSK	q_stavangersk	feather	1201	feather	fjœːʁ	feather:A	f j œː ʁ		f j œː ʁ	5
STAVANGERSK	q_stavangersk	who	1235	who	kɛmː	who:B	k ɛ mː		k ɛ mː	2
STAVANGERSK	q_stavangersk	cut	1432	cut	ˈʂèːʁa	cut:E	ˈʂ èː ʁ a		ˈʂ èː ʁ a	5
STAVANGERSK	q_stavangersk	straight	1404	straight	ˈʁɑːɡə	straight:M	ˈʁ ɑː ɡ ə		ˈʁ ɑː ɡ ə	test
STAVANGERSK	q_stavangersk	three	492	three	tʁiː	three:A	t ʁ iː		t ʁ iː	3
STAVANGERSK	q_stavangersk	freeze	1431	freeze	ˈfʁyːsa	freeze:B	ˈf ʁ yː s a		ˈf ʁ yː s a	1
STAVANGERSK	q_stavangersk	smoke	778	smoke	ʁœɪɡ	smoke:B	ʁ œ ɪ ɡ		ʁ œ ɪ ɡ	5
STAVANGERSK	q_stavangersk	when	1238	when	noːʁ	when:A	n oː ʁ		n oː ʁ	4
STAVANGERSK	q_stavangersk	drink	1401	drink	ˈdʁɪ̀kːa	drink:B	ˈd ʁ ɪ̀ kː a		ˈd ʁ ɪ̀ kː a	1
STAVANGERSK	q_stavangersk	he	1211	he	hanː	he:A	h a nː		h a nː	3
STAVANGERSK	q_stavangersk	five	493	five	fɛmː	five:O	f ɛ mː		f ɛ mː	4
STAVANGERSK	q_stavangersk	how	1239	how	kusː	how:B	k u sː		k u sː	2
STAVANGERSK	q_stavangersk	old	1229	old	ˈɡàmːalə	old:J	ˈɡ à mː a l ə		ˈɡ à mː a l ə	1
STAVANGERSK	q_stavangersk	short	1645	short	ˈstʉtːə	short:G	ˈs t ʉ tː ə		ˈs t ʉ tː ə	5
STAVANGERSK	q_stavangersk	night	1233	night	nɔtː	night:B	n ɔ tː		n ɔ tː	5
STAVANGERSK	q_stavangersk	that	78	that	ˈdɛ̀nːə	that:B	ˈd ɛ̀ nː ə		ˈd ɛ̀ nː ə	3
STAVANGERSK	q_stavangersk	here	136	here	heːʁ	here:B	h eː ʁ		h eː ʁ	2
STAVANGERSK	q_stavangersk	star	1430	star	ˈʂàʁna	star:V	ˈʂ à ʁ n a		ˈʂ à ʁ n a	test
STAVANGERSK	q_stavangersk	fog	249	fog	ˈtòːɡa	fog:D	ˈt òː ɡ a		ˈt òː ɡ a	test
STAVANGERSK	q_stavangersk	hit	1433	hit	sloː	hit:V	s l oː		s l oː	test
STAVANGERSK	q_stavangersk	dig	1418	dig	ˈgʁɑ̀ːʋa	dig:N	ˈg ʁ ɑ̀ː ʋ a		ˈg ʁ ɑ̀ː ʋ a	4
STAVANGERSK	q_stavangersk	there	1937	there	dɛːʁ	there:B	d ɛː ʁ		d ɛː ʁ	4
STAVANGERSK	q_stavangersk	woods	420	woods	skuːɡ	woods:I	s k uː ɡ		s k uː ɡ	test
STAVANGERSK	q_stavangersk	lie	1411	lie	ˈlɪ̀ɡːa	lie:A	ˈl ɪ̀ ɡː a		ˈl ɪ̀ ɡː a	1
STAVANGERSK	q_stavangersk	road	667	road	ʋɛɪ	road:B	ʋ ɛ ɪ		ʋ ɛ ɪ	4
STAVANGERSK	q_stavangersk	salt	1274	salt	salt	salt:B	s a l t		s a l t	2
STAVANGERSK	q_stavangersk	sea	1474	sea	ʂøː	sea:J	ʂ øː		ʂ øː	5
STAVANGERSK	q_stavangersk	long	1203	long	ˈlaŋːə	long:B	ˈl a ŋː ə		ˈl a ŋː ə	4
STAVANGERSK	q_stavangersk	they	817	they	diː	they:J	d iː		d iː	3
STAVANGERSK	q_stavangersk	child	2099	child	bɑːdn	child:K	b ɑː d n		b ɑː d n	5
STAVANGERSK	q_stavangersk	swim	1439	swim	ˈsʏ̀mːa	swim:B	ˈs ʏ̀ mː a		ˈs ʏ̀ mː a	3
STAVANGERSK	q_stavangersk	ear	1247	ear	ˈœɪ̀ʁa	ear:B	ˈœ ɪ̀ ʁ a		ˈœ ɪ̀ ʁ a	4
STAVANGERSK	q_stavangersk	fire	221	fire	ɪlː	fire:H	ɪ lː		ɪ lː	1
STAVANGERSK	q_stavangersk	see	1409	see	seː	see:B	s eː		s eː	2
STAVANGERSK	q_stavangersk	hold	1448	hold	ˈhɔ̀lːa	hold:A	ˈh ɔ̀ lː a		ˈh ɔ̀ lː a	test
STAVANGERSK	q_stavangersk	nose	1221	nose	ˈnɑ̀ːsə	nose:B	ˈn ɑ̀ː s ə		ˈn ɑ̀ː s ə	3
STAVANGERSK	q_stavangersk	near	1942	near	næːʁ	near:B	n æː ʁ		n æː ʁ	1
STAVANGERSK	q_stavangersk	guts	1991	guts	ˈɪnːvoːl	guts:K	ˈɪ nː v oː l		ˈɪ nː v oː l	1
STAVANGERSK	q_stavangersk	I	1209	I	eːɡ	I:A	eː ɡ		eː ɡ	test
STAVANGERSK	q_stavangersk	vomit	1278	vomit	spyː	vomit:R	s p yː		s p yː	4
STAVANGERSK	q_stavangersk	left	244	left	ˈʋɛ̀nstʁə	left:K	ˈʋ ɛ̀ n s t ʁ ə		ˈʋ ɛ̀ n s t ʁ ə	2
STAVANGERSK	q_stavangersk	mountain	639	mountain	ˈfjɛdːl̩	mountain:P	ˈf j ɛ dː l̩		ˈf j ɛ dː l̩	3
STAVANGERSK	q_stavangersk	other	197	other	ˈɑ̀ːən	other:S	ˈɑ̀ː ə n		ˈɑ̀ː ə n	4
STAVANGERSK	q_stavangersk	wipe	1454	wipe	ˈtùʁka	wipe:H	ˈt ù ʁ k a		ˈt ù ʁ k a	1
STAVANGERSK	q_stavangersk	where	1237	where	kuʁː	where:B	k u ʁː		k u ʁː	4
STAVANGERSK	q_stavangersk	mother	1216	mother	muːʁ	mother:A	m uː ʁ		m uː ʁ	2
STAVANGERSK	q_stavangersk	knee	1371	knee	kneː	knee:N	k n eː		k n eː	1
STAVANGERSK	q_stavangersk	blood	946	blood	bluː	blood:B	b l uː		b l uː	1
STAVANGERSK	q_stavangersk	moon	1313	moon	ˈmòːnə	moon:A	ˈm òː n ə		ˈm òː n ə	test
STAVANGERSK	q_stavangersk	man	1554	man	kɑːʁ	man:H	k ɑː ʁ		k ɑː ʁ	5
STAVANGERSK	q_stavangersk	we	1212	we	meː	we:A	m eː		m eː	test
STAVANGERSK	q_stavangersk	and	1577	and	oː	and:I	oː		oː	2
STAVANGERSK	q_stavangersk	mouth	674	mouth	munː	mouth:B	m u nː		m u nː	test
STAVANGERSK	q_stavangersk	eat	1336	eat	ˈèːda	eat:B	ˈèː d a		ˈèː d a	5
STAVANGERSK	q_stavangersk	skin	763	skin	ʂɪnː	skin:L	ʂ ɪ nː		ʂ ɪ nː	4
STAVANGERSK	q_stavangersk	dry	1398	dry	ˈtœʁːə	dry:D	ˈt œ ʁː ə		ˈt œ ʁː ə	3
STAVANGERSK	q_stavangersk	some	1241	some	ˈnòːɡən	some:B	ˈn òː ɡ ə n		ˈn òː ɡ ə n	2
STAVANGERSK	q_stavangersk	heavy	1210	heavy	ˈtuŋːə	heavy:H	ˈt u ŋː ə		ˈt u ŋː ə	5
STAVANGERSK	q_stavangersk	white	1335	white	ˈkʋiːdə	white:B	ˈk ʋ iː d ə		ˈk ʋ iː d ə	test
STAVANGERSK	q_stavangersk	bite	1403	bite	ˈbìːda	bite:B	ˈb ìː d a		ˈb ìː d a	1
STAVANGERSK	q_stavangersk	thin	1400	thin	ˈtʏnːə	thin:B	ˈt ʏ nː ə		ˈt ʏ nː ə	2
STAVANGERSK	q_stavangersk	woman	962	woman	ˈkʋɪ̀nːə	woman:D	ˈk ʋ ɪ̀ nː ə		ˈk ʋ ɪ̀ nː ə	1
STAVANGERSK	q_stavangersk	spit	1440	spit	ˈspø̀ːda	spit:Ac	ˈs p ø̀ː d a		ˈs p ø̀ː d a	3
STAVANGERSK	q_stavangersk	this	1214	this	ˈdɛ̀nːə	this:B	ˈd ɛ̀ nː ə		ˈd ɛ̀ nː ə	test
STAVANGERSK	q_stavangersk	hear	1408	hear	ˈhœɪ̀ʁa	hear:B	ˈh œ ɪ̀ ʁ a		ˈh œ ɪ̀ ʁ a	3
STAVANGERSK	q_stavangersk	one	1493	one	ɛɪn	one:A	ɛ ɪ n		ɛ ɪ n	4
STAVANGERSK	q_stavangersk	sleep	1585	sleep	ˈsòːʋa	sleep:C	ˈs òː ʋ a		ˈs òː ʋ a	2
STAVANGERSK	q_stavangersk	bad	1292	bad	ˈɪ̀dla	bad:R	ˈɪ̀ d l a		ˈɪ̀ d l a	3
STAVANGERSK	q_stavangersk	good	1035	good	ˈɡuːə	good:B	ˈɡ uː ə		ˈɡ uː ə	1
STAVANGERSK	q_stavangersk	know	1410	know	ˈʋèːda	know:F	ˈʋ èː d a		ˈʋ èː d a	1
STAVANGERSK	q_stavangersk	rightside	1019	rightside	ˈhʏ̀ɡʁə	rightside:M	ˈh ʏ̀ ɡ ʁ ə		ˈh ʏ̀ ɡ ʁ ə	5
STAVANGERSK	q_stavangersk	flower	239	flower	ˈblɔmstəʁ	flower:B	ˈb l ɔ m s t ə ʁ		ˈb l ɔ m s t ə ʁ	test
STAVANGERSK	q_stavangersk	fruit	1507	fruit	fʁukt	fruit:B	f ʁ u k t		f ʁ u k t	test
STAVANGERSK	q_stavangersk	rub	1449	rub	gniː	rub:J	g n iː		g n iː	2
STAVANGERSK	q_stavangersk	bark	1204	bark	bɔʁk	bark:G	b ɔ ʁ k		b ɔ ʁ k	4
STAVANGERSK	q_stavangersk	year	1226	year	oːʁ	year:B	oː ʁ		oː ʁ	1
STAVANGERSK	q_stavangersk	new	1231	new	ˈnyːə	new:A	ˈn yː ə		ˈn yː ə	5
STAVANGERSK	q_stavangersk	all	98	all	ˈàdlə	all:A	ˈà d l ə		ˈà d l ə	3
STAVANGERSK	q_stavangersk	laugh	1355	laugh	ˈlɛɪ̀a	laugh:B	ˈl ɛ ɪ̀ a		ˈl ɛ ɪ̀ a	test
STAVANGERSK	q_stavangersk	blow	175	blow	ˈblòːsa	blow:A	ˈb l òː s a		ˈb l òː s a	3
STAVANGERSK	q_stavangersk	bird	937	bird	ˈfuɡːəl	bird:B	ˈf u ɡː ə l		ˈf u ɡː ə l	5
STAVANGERSK	q_stavangersk	small	1246	small	ˈsmoːə	small:K	ˈs m oː ə		ˈs m oː ə	2
STAVANGERSK	q_stavangersk	wind	960	wind	ʋɪnː	wind:B	ʋ ɪ nː		ʋ ɪ nː	3
STAVANGERSK	q_stavangersk	full	1429	full	ˈfudlə	full:A	ˈf u d l ə		ˈf u d l ə	4
STAVANGERSK	q_stavangersk	burn	2102	burn	ˈbʁɛ̀nːa	burn:B	ˈb ʁ ɛ̀ nː a		ˈb ʁ ɛ̀ nː a	test
STAVANGERSK	q_stavangersk	lake	624	lake	ˈʋatːn̩	lake:H	ˈʋ a tː n̩		ˈʋ a tː n̩	3
STAVANGERSK	q_stavangersk	smell	1586	smell	ˈlùkta	smell:K	ˈl ù k t a		ˈl ù k t a	2
STAVANGERSK	q_stavangersk	meat	634	meat	hɔlː	meat:H	h ɔ lː		h ɔ lː	2
STAVANGERSK	q_stavangersk	fingernail	1258	fingernail	ˈnaɡːəl	fingernail:A	ˈn a ɡː ə l		ˈn a ɡː ə l	3
STAVANGERSK	q_stavangersk	ashes	646	ashes	ˈɔ̀ska	ashes:A	ˈɔ̀ s k a		ˈɔ̀ s k a	5
STAVANGERSK	q_stavangersk	far	1406	far	laŋkt_ˈbɔ̀ʁtə	far:M	l a ŋ k t _ ˈb ɔ̀ ʁ t ə		l a ŋ k t _ ˈb ɔ̀ ʁ t ə	1
STAVANGERSK	q_stavangersk	fall	1280	fall	ˈfàlːa	fall:B	ˈf à lː a		ˈf à lː a	3
STAVANGERSK	q_stavangersk	rope	1218	rope	ʁɛɪb	rope:K	ʁ ɛ ɪ b		ʁ ɛ ɪ b	test
STAVANGERSK	q_stavangersk	dirty	1230	dirty	uːˈʁɛɪnə	dirty:Aa	uː ˈʁ ɛ ɪ n ə		uː ˈʁ ɛ ɪ n ə	3
STAVANGERSK	q_stavangersk	heart	1223	heart	ˈjæ̀ʁta	heart:J	ˈj æ̀ ʁ t a		ˈj æ̀ ʁ t a	1
STAVANGERSK	q_stavangersk	belly	1251	belly	ˈmɑ̀ːɡə	belly:N	ˈm ɑ̀ː ɡ ə		ˈm ɑ̀ː ɡ ə	test
STAVANGERSK	q_stavangersk	sew	1457	sew	ˈsəʉ̀ma	sew:F	ˈs ə ʉ̀ m a		ˈs ə ʉ̀ m a	test
STAVANGERSK	q_stavangersk	wash	1453	wash	ˈʋàska	wash:B	ˈʋ à s k a		ˈʋ à s k a	5
STAVANGERSK	q_stavangersk	sky	1732	sky	ˈhɪ̀mːəl	sky:B	ˈh ɪ̀ mː ə l		ˈh ɪ̀ mː ə l	3
STAVANGERSK	q_stavangersk	hunt	1435	hunt	ˈjɑ̀ːɡa	hunt:B	ˈj ɑ̀ː ɡ a		ˈj ɑ̀ː ɡ a	3
STAVANGERSK	q_stavangersk	foot	1301	foot	fuːd	foot:B	f uː d		f uː d	3
STAVANGERSK	q_stavangersk	louse	1392	louse	lʉːs	louse:B	l ʉː s		l ʉː s	5
STAVANGERSK	q_stavangersk	father	1217	father	fɑːʁ	father:A	f ɑː ʁ		f ɑː ʁ	5
